vendor,category,default_ports,protocol,shodan_dorks,probe_paths,signature_markers,severity,auth_posture,auth_evidence,has_enumerator,supplementary_notes,sources
Clawdbot,LLM Orchestration,18789,,"http.html:""clawdbot"" port:18789 | http.favicon.hash:348721092",,,,,,,,AI-LLM-Infrastructure-OSINT
Coze,LLM Orchestration,,,"http.html:""Coze""",,,,mixed,,,,AI-LLM-Infrastructure-OSINT
FastGPT,LLM Orchestration,3000,,"http.html:""FastGPT"" port:3000 | port:3000 http.html:""fastgpt""",,,,mixed,,,,AI-LLM-Infrastructure-OSINT
Flowise,LLM Orchestration,80;443;3000,http,"http.title:""Flowise"" port:3000 | http.html:""Flowise"" port:3000 -http.title:""403""",/;/api/v1/chatflows,body:<title>flowise - build ai agents;body:flowData;json_array,high,unauth-on-default,ledger 12/14 unauth,yes,,AI-LLM-Infrastructure-OSINT;aimap
GPT4All,LLM Orchestration,4891,,"http.html:""GPT4All"" port:4891 | port:4891 http.html:""/v1/models""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Gradio,LLM Orchestration,7860,HTTP,"http.html:""gradio"" port:7860 | http.favicon.hash:-1294819032 | port:7860 http.html:""gradio""",,,,mixed,ledger 5/5 unauth,,[tiptoe/probe.go] tiptoe LLM signature: confirmPath=/config; versionKey=version; rootHint: gradio,AI-LLM-Infrastructure-OSINT;tiptoe/probe.go
h2oGPT,LLM Orchestration,7860,,"http.html:""h2oGPT"" port:7860 | port:7860 http.html:""h2oGPT""",,,,mixed,,,,AI-LLM-Infrastructure-OSINT
Jan,LLM Orchestration,1337,,"http.html:""Jan"" port:1337",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Khoj,LLM Orchestration,42110,,"http.html:""Khoj"" port:42110 | port:42110 http.html:""khoj""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Langflow,LLM Orchestration,7860,,"http.html:""Langflow"" port:7860 | http.title:""Langflow"" | port:7860 http.html:""gradio"" http.html:""langflow""",,,,mixed,ledger 1/1 unauth,,,AI-LLM-Infrastructure-OSINT
LangServe,LLM Orchestration,80;443;8000;8080,http,,/docs;/openapi.json,body:langserve,medium,mixed,,yes,[tome] LangChain serving; auth_default: none; /playground exposes model behavior; fingerprint: FastAPI /docs with /invoke path,aimap;tome
LibreChat,LLM Orchestration,3080,,"http.html:""LibreChat"" port:3080 | port:3080 http.html:""librechat""",,,,mixed,,,,AI-LLM-Infrastructure-OSINT
LiteLLM,LLM Orchestration,80;443;3000;4000;5076,http,"http.html:""LiteLLM"" port:4000 | http.title:""LiteLLM"" | http.html:""LiteLLM Proxy"" port:5076 | port:5076 http.html:""LiteLLM"" | port:4000 http.html:""litellm"" | port:3000 http.html:""litellm""",/health;/model/info,body:litellm;body:litellm_params;json:data;json:healthy_count,medium,mixed,,yes,,AI-LLM-Infrastructure-OSINT;aimap
LobeChat,LLM Orchestration,,,"http.html:""LobeChat""",,,,mixed,,,,AI-LLM-Infrastructure-OSINT
NewAPI,LLM Orchestration,80;443;3000;8080;8090,http,,/api/status,body:HeaderNavModules;body:api_info;json:data,critical,mixed,,no,,aimap
One API,LLM Orchestration,80;443;3000;8000;8080;8200,http,"port:3000 http.html:""one-api""",/;/api/status,body:<title>one api</title>;body:display_in_currency;body:email_verification;json:data,critical,mixed,,no,,AI-LLM-Infrastructure-OSINT;aimap
oobabooga,LLM Orchestration,5000;7860,,"http.html:""text-generation-webui"" port:7860",,,,,,,,AI-LLM-Infrastructure-OSINT
Open WebUI,LLM Orchestration,3000;8080,http,"http.html:""Open WebUI"" port:3000 | http.title:""Open WebUI"" | http.html:""open-webui"" ""uvicorn""",/,body:/static/loader.js;body:<title>open webui</title>,medium,mixed,ledger 0/2 unauth,yes,[tiptoe/probe.go] tiptoe LLM signature: confirmPath=/api/config; versionKey=version; rootHint: open webui,AI-LLM-Infrastructure-OSINT;aimap;tiptoe/probe.go
PromptFlow,LLM Orchestration,,,"http.html:""promptflow""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Rivet,LLM Orchestration,,,"http.html:""Rivet""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
SillyTavern,LLM Orchestration,8000;8001,http,"http.html:""SillyTavern"" port:8000",/;/login,body:<title>sillytavern</title>;body:css/st-tailwind.css,medium,mixed,,yes,,AI-LLM-Infrastructure-OSINT;aimap
sub2api,LLM Orchestration,443;3000;8080;8090,http,,/api/v1/admin/users;/setup/status;/v1/models,"body:""code"":""UNAUTHORIZED"";body:""code"":0;body:""needs_setup"";body:""step"";body:API key is required in Authorization header (Bearer scheme);body:API_KEY_REQUIRED;body:Authorization required;status:401",high,auth-on-default,,no,,aimap
FastMCP,MCP Servers,8000,,"""FastMCP"" ""uvicorn"" port:8000 | http.html:""FastMCP""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
HexStrike AI,MCP Servers,8888;11434,,"http.html:""hexstrike"" port:8888 | ""HexStrike"" port:11434 | ""hexstrike-ai"" port:11434",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
MCP Filesystem,MCP Servers,,,"""server-filesystem"" ""mcp""",,,,,,,,AI-LLM-Infrastructure-OSINT
MCP JSON-RPC,MCP Servers,8080,,"""mcp"" ""tools/list"" port:8080 | ""jsonrpc"" ""2.0"" ""tools/list""",,,,,,,,AI-LLM-Infrastructure-OSINT
MCP Proxy,MCP Servers,8080,,"""mcp-proxy"" port:8080",,,,,,,,AI-LLM-Infrastructure-OSINT
MCP Server,MCP Servers,443;3000;3001;5000;5001;8000;8001;8080;8081;8088;8443;8888;9000;9090,http,"""mcp-server-"" ""sse"" port:8000 | ""text/event-stream"" ""jsonrpc""",/;/mcp,body:-32600;body:Method Not Allowed;body:POST;body:jsonrpc;hdr:Allow=post;hdr:Server=mcp-server;status:405;status:406,high,unauth-on-default,ledger 89/89 unauth,yes,,AI-LLM-Infrastructure-OSINT;aimap
MCP SSE,MCP Servers,3000,,"""modelcontextprotocol"" port:3000 | ""mcp"" ""/sse"" ""message"" port:3000",,,,,,,,AI-LLM-Infrastructure-OSINT
dcm4che / dcm4chee-arc DICOM Archive,Medical / Edge AI,80;443;8080;8443,http,,/dcm4chee-arc/;/dcm4chee-arc/aets,body:dcm4chee;json_array,critical,auth-on-default,,no,,aimap
dcm4chee,Medical / Edge AI,8080;8443,,"port:8080 http.html:""dcm4chee""",,,,,,,,AI-LLM-Infrastructure-OSINT
DICOM,Medical / Edge AI,104;11112,,"port:104 http.html:""dicom""",,,,,,,,AI-LLM-Infrastructure-OSINT
DICOMweb (QIDO-RS),Medical / Edge AI,80;443;8042;8080;8443,http,,/dicomweb/studies;/studies,body:0020000D;json_array,critical,mixed,,no,,aimap
Holoscan,Medical / Edge AI,8000;8081;8443,,"port:8000 http.html:""holoscan""",,,,,,,,AI-LLM-Infrastructure-OSINT
MONAI Label Server,Medical / Edge AI,80;443;8000;8001,http,"port:8000 http.html:""monai""",/info/,json:datastore;json:scoring;json:strategies;json:trainers,high,mixed,,no,,AI-LLM-Infrastructure-OSINT;aimap
NVIDIA NIM,Medical / Edge AI,80;443;8000;8080,http,"port:8000 http.html:""nim"" http.html:""/v1/models""",/v1/metadata,json:modelInfo,high,unauth-on-default,,no,[tome] Inference serving; auth_default: none; NGC_API_KEY in container env grants NVIDIA cloud registry access,AI-LLM-Infrastructure-OSINT;aimap;tome
NVIDIA NIM Medical,Medical / Edge AI,8000,,"port:8000 http.html:""nim"" http.html:""medical""",,,,,,,,AI-LLM-Infrastructure-OSINT
Orthanc,Medical / Edge AI,4242;8042;8043,,"port:8042 http.html:""orthanc""",,,,mixed,,,,AI-LLM-Infrastructure-OSINT
Orthanc DICOM Server,Medical / Edge AI,80;443;8042;8043;8080,http,,/system,body:Orthanc;json:ApiVersion;json:DicomAet,critical,mixed,,no,,aimap
Amundsen,ML Governance,5000;5001;5002,http,,/healthcheck,body:amundsen;json:status,medium,unauth-on-default,,no,,aimap
Apache Atlas,ML Governance,21000;21443,http,,/api/atlas/admin/version,body:metadata;json:Description,high,mixed,,yes,,aimap
CKAN,ML Governance,80;443;5000,http,"port:5000 http.html:""ckan""",/api/3/action/status_show,body:ckan;json:ckan_version,low,unauth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
Collibra,ML Governance,4401;4402;4421,http,,/rest/2.0/ping,body:collibra,high,mixed,,no,,aimap
DataHub,ML Governance,8080;9002,,"port:9002 http.html:""datahub""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
DataHub GMS,ML Governance,8080;9002,http,,/config,body:datahub;json:noCode,high,mixed,,yes,,aimap
Kubecost,ML Governance,80;443;9090,http,,/model/allocation?window=1d&aggregate=namespace&accumulate=true;/model/clusterInfo,body:cpuCost;body:provisioner;json:code,high,unauth-on-default,,yes,,aimap
Marquez,ML Governance,3000;5000;8080,http,"http.html:""marquez""",/api/v1/namespaces,json:namespaces,medium,unauth-on-default,,yes,,AI-LLM-Infrastructure-OSINT;aimap
OpenCost,ML Governance,9003;9090,http,,/allocation?window=1d&aggregate=namespace;/metrics,body:cpuCost;body:node_cpu_hourly_cost;json:code,medium,unauth-on-default,,yes,,aimap
OpenMetadata,ML Governance,8080;8585,http,"port:8585 http.html:""openmetadata""",/api/v1/system/version,json:revision;json:version,critical,mixed,,yes,,AI-LLM-Infrastructure-OSINT;aimap
Evidently,ML Observability,8000,,"port:8000 http.html:""evidently""",,,,,,,,AI-LLM-Infrastructure-OSINT
Evidently ML Monitoring,ML Observability,80;443;3000;8000;8080,http,,/api/version,body:Evidently UI;json:version,high,unauth-on-default,,no,,aimap
Grafana,ML Observability,80;443;3000,http,"port:3000 http.html:""grafana"" | http.title:""Grafana""",/api/health,json:database;json:version,medium,unauth-on-default,ledger 1/8 unauth,yes,[menlohunt/ports.go] Observability; menlohunt risk tier: Medium; tags: grafana/observability,AI-LLM-Infrastructure-OSINT;aimap;menlohunt/ports.go
MinIO,ML Observability,9000;9001,http,"port:9001 http.html:""MinIO"" | port:9000 http.html:""minio"" | port:9000 http.html:""minio"" http.html:""backup""",/;/minio/health/live,body:AccessDenied;body:xml;hdr:X-Amz-Request-Id,high,unauth-on-default [OFF (minioadmin:minioadmin)],ledger 26/26 unauth,yes,,AI-LLM-Infrastructure-OSINT;aimap
n8n,ML Observability,80;443;5678,http,"http.title:""n8n"" port:5678 | http.html:""n8n"" port:5678",/;/rest/active-workflows,body:<title>n8n.io;body:REST_ENDPOINT;json:data,critical,unauth-on-default,ledger 0/4 unauth,yes,[tome] Workflow orchestration; auth_default: none (N8N_BASIC_AUTH_ACTIVE not set); workflow JSON contains embedded service credentials in plaintext,AI-LLM-Infrastructure-OSINT;aimap;tome
Prometheus,ML Observability,9090,http,"http.html:""prometheus""",/-/healthy;/api/v1/status/runtimeinfo,body:Prometheus Server is Healthy;json:reloadConfigSuccess,medium,unauth-on-default,,yes,,AI-LLM-Infrastructure-OSINT;aimap
TensorBoard,ML Observability,6006,,"port:6006 http.html:""tensorboard""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Aim,ML Platforms,80;443;43800,http,,/,body:aim-ui,medium,unauth-on-default,,no,,aimap
ClearML,ML Platforms,80;443;8008;8080;8081;8085,http,"port:8080 http.html:""ClearML""",/,body:<title;body:clearml,high,mixed,,no,,AI-LLM-Infrastructure-OSINT;aimap
Cornac,ML Platforms,8080,,"port:8080 http.html:""remove_seen""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
django-river-ml,ML Platforms,8000,,"http.html:""models"" port:8000 ""django""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
ES-LTR,ML Platforms,9200,,"http.html:"".ltrstore"" | http.html:""_ltr"" http.html:""featureset"" port:9200",,,,mixed,,,,AI-LLM-Infrastructure-OSINT
Gorse,ML Platforms,8087,,"http.title:""Gorse Dashboard"" | http.html:""Gorse Dashboard"" http.html:""fontawesome.com/releases/v7.0.0"" | port:8087 http.html:""/api/health/live""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Metarank,ML Platforms,8080,,"port:8080 http.html:""metarank""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
MLflow,ML Platforms,1481;5000,http,"port:5000 http.html:""mlflow"" | port:5000 http.html:""MLflow""",/,body:<title>mlflow</title>;body:static-files/manifest.json,high,unauth-on-default,ledger 11/11 unauth,yes,,AI-LLM-Infrastructure-OSINT;aimap
Ray Serve,ML Platforms,80;443;6006;8000;8265,http,"port:8265 ""ray_version"" http.status:200 | port:8265 http.title:""Ray Dashboard"" | port:8265 ""/api/jobs"" OR ""/api/actors""",/;/api/serve/deployments/,body:Ray Serve;hdr:Content-Type=application/json;json:deployments,medium,unauth-on-default,,no,[tome] Inference serving; auth_default: none; dashboard at 8265 exposes full cluster topology including all worker IPs,AI-LLM-Infrastructure-OSINT;aimap;tome
Solr-LTR,ML Platforms,,,"http.html:""schema/feature-store"" | http.html:""ManagedFeatureStore""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
TensorFlow Serving,ML Platforms,8500;8501,http,"port:8501 ""model_version_status"" ""AVAILABLE"" | port:8501 ""/v1/models/"" http.status:200 | port:8501 ""signature_name"" ""serving_default"" | port:8500 ""tensorflow""",/v1/models,json:model_version_status,medium,unauth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
TF-Serving,ML Platforms,8501,,"port:8501 http.html:""model_version_status"" | http.html:""Could not find any versions of model""",,,,,,,,AI-LLM-Infrastructure-OSINT
Triton Inference Server,ML Platforms,8000;8001;8002,http,"port:8000 ""/v2/health/ready"" | port:8002 ""nv_inference_request_success"" | port:8000 ""triton-inference-server"" http.status:200 | port:8000 ""/v2/models"" ""extensions""",/v2;/v2/repository/index,body:READY;body:triton;json:name;json_array,medium,unauth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
VW Daemon,ML Platforms,26542,,port:26542,,,,,,,,AI-LLM-Infrastructure-OSINT
WandB Service (custom FastAPI proxy),ML Platforms,5000;5001;5005;8000,http,,/;/openapi.json,body:endpoints;body:wandb;body:wandb service;json:info;json:service,critical,unauth-on-default,,no,,aimap
Weights & Biases,ML Platforms,80;443;8080;8081;8888;28080,http,"port:8080 http.html:""wandb""",/,body:<title;body:weights & biases,high,mixed,,no,,AI-LLM-Infrastructure-OSINT;aimap
Aphrodite Engine,Model Serving / LLM Runtimes,,,"http.html:""aphrodite""",,,,,,,,AI-LLM-Infrastructure-OSINT
Bark,Model Serving / LLM Runtimes,,,"http.html:""bark"" http.html:""audio"" | http.html:""bark"" http.html:""tts""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Coqui TTS,Model Serving / LLM Runtimes,5002;8020,,"port:5002 http.html:""coqui""",,,,unauth-on-default,ledger 4/4 unauth,,,AI-LLM-Infrastructure-OSINT
Jina,Model Serving / LLM Runtimes,8080,,"port:8080 http.html:""jina""",,,,,,,,AI-LLM-Infrastructure-OSINT
KoboldCpp,Model Serving / LLM Runtimes,5001,,"port:5001 http.html:""KoboldCpp""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
llama.cpp server,Model Serving / LLM Runtimes,8000;8080;11434,http,"port:8080 http.html:""/v1/chat/completions""",/;/props;/v1/models,"body:""owned_by"":""llamacpp"";body:chat_template;hdr:Server=llama.cpp;json:default_generation_settings",high,unauth-on-default,ledger 677/677 unauth,yes,,AI-LLM-Infrastructure-OSINT;aimap
LM Studio,Model Serving / LLM Runtimes,1234,,"port:1234 http.html:""LM Studio""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
LMDeploy,Model Serving / LLM Runtimes,,,"http.html:""lmdeploy""",,,,,,,,AI-LLM-Infrastructure-OSINT
NVIDIA Merlin,Model Serving / LLM Runtimes,8000,,"port:8000 ""/v2/models"" ""recsys"" OR ""ranking"" OR ""retrieval""",,,,,,,,AI-LLM-Infrastructure-OSINT
Ollama,Model Serving / LLM Runtimes,11434,http,"port:11434 http.html:""Ollama is running"" | port:11434 | port:11434 http.html:""/api/tags""",/api/tags,json:models,high,unauth-on-default,ledger 5066/5066 unauth,yes,[tome] LLM inference; auth_default: none; OLLAMA_HOST=0.0.0.0 exposes all interfaces; /api/show leaks system prompts | [tiptoe/probe.go] tiptoe LLM signature: confirmPath=/api/tags; confirmHint=models; noAuth=true; rootHint: ollama is running,AI-LLM-Infrastructure-OSINT;aimap;tiptoe/probe.go;tome
PaddleOCR,Model Serving / LLM Runtimes,,,"http.html:""paddleocr""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Piper,Model Serving / LLM Runtimes,,,"http.html:""piper"" http.html:""tts""",,,,,,,,AI-LLM-Infrastructure-OSINT
Seldon,Model Serving / LLM Runtimes,,,"http.html:""seldon""",,,,,,,,AI-LLM-Infrastructure-OSINT
TEI,Model Serving / LLM Runtimes,80;3000;8080,,"port:8080 http.html:""text-embeddings-inference""",,,,,,,,AI-LLM-Infrastructure-OSINT
TorchServe,Model Serving / LLM Runtimes,8080;8081;8082,,"port:8081 ""nextPageToken"" ""models"" http.status:200 | port:8081 ""modelName"" ""modelUrl"" ""minWorkers"" | port:8082 ""ts_"" http.status:200",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
vLLM,Model Serving / LLM Runtimes,80;443;8000,http,"port:8000 http.html:""/v1/models"" | port:8000 http.html:""vllm""",/v1/models;/version,body:vllm;json:data;json:model;json:version,medium,unauth-on-default,ledger 21/21 unauth,yes,[tome] LLM inference; auth_default: none; /metrics exposes GPU memory utilization; HF_TOKEN/HUGGING_FACE_HUB_TOKEN in env,AI-LLM-Infrastructure-OSINT;aimap;tome
Whisper,Model Serving / LLM Runtimes,7860;8080;9000,,"port:9000 http.html:""whisper""",,,,,ledger 33/33 unauth,,,AI-LLM-Infrastructure-OSINT
Jupyter Notebook,Notebooks / Dev,8888,http,"port:8888 http.html:""jupyter"" http.html:""notebook""",/;/api/status,body:Jupyter;json:started,high,mixed,,yes,,AI-LLM-Infrastructure-OSINT;aimap
JupyterHub,Notebooks / Dev,8000,HTTP,"port:8000 http.html:""jupyterhub""",,,,auth-on-default,,,[tiptoe/probe.go] tiptoe LLM signature: confirmPath=/hub/api; authPath=/hub/api/users — 200 = unauth; rootHint: /hub/,AI-LLM-Infrastructure-OSINT;tiptoe/probe.go
JupyterLab,Notebooks / Dev,8888,,"port:8888 http.html:""jupyterlab""",,,,,,,,AI-LLM-Infrastructure-OSINT
AnythingLLM,RAG Stacks,80;443;3001,http,"http.title:""AnythingLLM"" port:3001 | port:3001 http.html:""anythingllm"" http.html:""workspace""",/;/api/setup-complete,body:AnythingLLM | Your personal LLM;body:MultiUserMode;body:RequiresAuth;json:results,medium,mixed,ledger 20/20 unauth,no,,AI-LLM-Infrastructure-OSINT;aimap
Cognita,RAG Stacks,5001;8000,http,"port:8000 http.html:""cognita"" http.html:""truefoundry""",/,body:cognita;body:truefoundry,high,unauth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
Danswer,RAG Stacks,3000,,"port:3000 http.html:""danswer""",,,,,,,,AI-LLM-Infrastructure-OSINT
Danswer/Onyx,RAG Stacks,3000;8080,http,,/,body:Danswer;body:Onyx;body:connector,high,unauth-on-default,,no,,aimap
DocsGPT,RAG Stacks,5001,http,,/,body:DocsGPT,high,unauth-on-default,ledger 1/1 unauth,no,,aimap
Kotaemon,RAG Stacks,7860,http,,/,body:kotaemon,high,mixed,,no,,aimap
LightRAG,RAG Stacks,9621,http,"port:9621 http.html:""LightRAG"" | port:9621 http.html:""/query""",/;/docs,body:LightRAG,high,unauth-on-default,ledger 36/36 unauth,no,,AI-LLM-Infrastructure-OSINT;aimap
MemGPT,RAG Stacks,8283,,"port:8283 http.html:""memgpt""",,,,,,,,AI-LLM-Infrastructure-OSINT
Onyx,RAG Stacks,3000,,"port:3000 http.html:""onyx""",,,,,,,,AI-LLM-Infrastructure-OSINT
Perplexica,RAG Stacks,3000,http,,/,body:Perplexica,high,unauth-on-default,ledger 11/11 unauth,no,,aimap
PrivateGPT,RAG Stacks,8001,http,"port:8001 http.html:""PrivateGPT"" | port:8001 http.html:""/v1/ingest""",/;/docs,body:PrivateGPT,high,unauth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
Quivr,RAG Stacks,5050,http,"port:5050 http.html:""quivr""",/docs,body:Quivr,medium,auth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
R2R,RAG Stacks,7272,http,,/v3/health,body:response;json:results,high,unauth-on-default,,no,,aimap
Ragapp,RAG Stacks,8000,http,,/;/admin/,body:llamaindex;body:ragapp,high,unauth-on-default,ledger 1/1 unauth,no,,aimap
RAGFlow,RAG Stacks,80;443;8080;9380,http,"http.html:""ragflow"" port:80 | http.html:""RAGFlow"" http.favicon.hash:-1467534538 | port:9380 http.html:""ragflow""",/,body:RAGFlow;body:ragflow,high,mixed [ON (default-creds)],,no,,AI-LLM-Infrastructure-OSINT;aimap
txtai,RAG Stacks,8000;8080,http,"port:8080 http.html:""txtai"" | port:8080 http.html:""/workflow"" http.html:""txtai""",/openapi.json,body:/workflow;body:txtai,high,unauth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
Verba,RAG Stacks,8000,http,"port:8000 http.html:""verba""",/,body:goldenverba,high,unauth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
Cilium Metrics,Service Mesh / Cluster,9090;9962;9963;9965,http,,/metrics,body:cilium_drop_count_total;body:hubble_flows_processed_total,medium,unauth-on-default,,no,,aimap
Hubble UI,Service Mesh / Cluster,80;443;8080;12000;30120,http,,/,body:<title>Hubble UI</title>,medium,unauth-on-default,ledger 9/9 unauth,no,,aimap
Istio Envoy Admin,Service Mesh / Cluster,15000,http,,/config_dump;/server_info,body:.svc.cluster.local;body:envoy.admin.v3;body:state;json:version,high,unauth-on-default,,no,,aimap
Istiod Debug,Service Mesh / Cluster,8080;15014,http,,/debug/endpointz;/debug/registryz,body:hostname;body:serviceAccount;body:svc.cluster.local,high,unauth-on-default,,no,,aimap
Kiali,Service Mesh / Cluster,80;443;20001,http,,/api/config;/api/namespaces;/kiali/api/namespaces,body:istioNamespace;json_array,high,unauth-on-default,ledger 4/4 unauth,no,,aimap
Linkerd Proxy Admin,Service Mesh / Cluster,4191,http,,/env.json;/metrics,body:LINKERD2_PROXY_;body:inbound_http_authz;body:proxy_build_info,high,unauth-on-default,,no,,aimap
Linkerd Viz,Service Mesh / Cluster,80;443;8084;8085,http,,/,,high,unauth-on-default,,no,,aimap
Pomerium,Service Mesh / Cluster,80;443,http,,/.well-known/pomerium/jwks.json,body:ES256;json:keys,low,auth-on-default,,no,,aimap
Amulet Scan DuckDB API,Specialty Data / OLAP,3000;3001;8000,http,,/,body:amulet scan;json:endpoints;json:name,high,unauth-on-default,,no,,aimap
Apache Pinot Controller,Specialty Data / OLAP,9000,http,,/cluster/info;/tables,json:clusterName;json:controllerHost;json:tables,high,unauth-on-default,,no,,aimap
ClickHouse,Specialty Data / OLAP,8123;8443;9091,http,"port:8123 http.html:""clickhouse"" | port:8123 ""ClickHouse"" | port:8123 ""clickhouse"" | port:8123 http.html:""ClickHouse""",/?query=SELECT+1;/ping,hdr:X-Clickhouse-Format;hdr:X-Clickhouse-Server-Display-Name,high,unauth-on-default [OFF (default/empty)],,yes,,AI-LLM-Infrastructure-OSINT;aimap
Definite.app DuckDB,Specialty Data / OLAP,80;443;3000;8000,http,,/,hdr:X-Backend-Hostname=duckdb-;hdr:X-Server-Version=(git,high,unauth-on-default,,no,,aimap
Elasticsearch,Specialty Data / OLAP,9200;9201;9202;9203,http,"port:9200 http.html:""elasticsearch"" | port:9200 ""You Know, for Search"" | port:9200 http.html:""elasticsearch"" http.html:""snapshot"" | port:9200 http.html:""elasticsearch"" http.html:""cluster_name""",/,body:lucene_version;json:cluster_name;json:cluster_uuid;json:version,high,unauth-on-default [OFF (v7) / ON (v8)],,yes,[menlohunt/ports.go] Search/NoSQL; menlohunt risk tier: Critical; tags: elasticsearch/database,AI-LLM-Infrastructure-OSINT;aimap;menlohunt/ports.go
RedisInsight,Specialty Data / OLAP,80;443;5540;6380;8001;8080,http,"port:6380 http.html:""RedisInsight""",/;/api/databases;/api/info,body:RedisInsight;json:version;json_array,critical,unauth-on-default,ledger 1/1 unauth,yes,,AI-LLM-Infrastructure-OSINT;aimap
ScyllaDB REST,Specialty Data / OLAP,10000,http,,/api-doc/,body:storage_service;json:apis,high,unauth-on-default,,no,,aimap
BentoML,uncategorized,80;443;3000,http,"http.html:""bentoml"" OR http.html:""BentoServer"" | http.html:""bentoml""",/docs.json;/livez,body:BentoML;body:bentoml;json:openapi,medium,mixed,,no,,AI-LLM-Infrastructure-OSINT;aimap
Cassandra CQL,uncategorized,9042,TCP,,,,,,,,[scanner/main.go] Wide-column DB; in scanner default port list,scanner/main.go
CouchDB,uncategorized,5984,HTTP,,,,,,,,[scanner/main.go] Document DB; in scanner default port list alongside MongoDB/ES,scanner/main.go
Custom Embedding API (FastAPI/uvicorn),uncategorized,8000;8001;8080,HTTP,,,,,,,,[tome] Embedding serving; auth_default: none; OVMS backend co-located on port 9000; fingerprint: embedding_dimension field in root JSON,tome
Dify,uncategorized,80;3000;5001,http,"http.html:""Dify"" port:3000 | http.title:""Dify""",/;/console/api/setup;/console/api/version,body:<title>Dify</title>;body:dify;json:step;json:version,high,mixed,,yes,,AI-LLM-Infrastructure-OSINT;aimap
Docker Daemon (plaintext),uncategorized,2375,TCP,,,,,,,,[menlohunt/ports.go] Unauthenticated Docker socket; menlohunt risk tier: Critical; tags: docker/rce,menlohunt/ports.go
Docker Daemon (TLS),uncategorized,2376,TCP,,,,,,,,[menlohunt/ports.go] Docker Daemon TLS; menlohunt risk tier: High; tags: docker/container,menlohunt/ports.go
Elasticsearch transport,uncategorized,9300,TCP,,,,,,,,[menlohunt/ports.go] Cluster comms; menlohunt risk tier: High; tags: elasticsearch,menlohunt/ports.go
GlassFish Admin,uncategorized,4848,HTTP,,,,,,,,[menlohunt/ports.go] Java admin; menlohunt risk tier: High; tags: admin/java,menlohunt/ports.go
Kubeflow,uncategorized,8080,http,"http.html:""kubeflow"" | http.html:""kubeflow"" http.html:""pipeline""",/;/pipeline/apis/v1beta1/healthz,body:Kubeflow;body:kubeflow;json:status,high,mixed,,no,,AI-LLM-Infrastructure-OSINT;aimap
Kubelet read-only,uncategorized,10255,HTTP,,,,,,,,[menlohunt/ports.go] Kubernetes read-only port; menlohunt risk tier: High; tags: kubernetes/kubelet,menlohunt/ports.go
Langfuse,uncategorized,80;443;3000,http,"port:3000 http.html:""langfuse""",/;/api/public/health,body:__NEXT_DATA__;body:langfuse;json:status;json:version,high,mixed,ledger 1/1 unauth,yes,,AI-LLM-Infrastructure-OSINT;aimap
Langfuse (self-hosted),uncategorized,3000;3100,HTTP,,,,,,,,[tome] LLM observability; auth_default: api_key; misconfig: traces contain unmasked LLM API credentials; port 3100 is non-standard alt,tome
llama.cpp (server mode),uncategorized,8000;8080,HTTP,,,,,,,,[tome] LLM inference; auth_default: none; fingerprint: Server: llama.cpp header + .gguf in model id; GGUF path leaks filesystem layout,tome
Memcached,uncategorized,11211,TCP,,,,,,,,[menlohunt/ports.go] Cache; menlohunt risk tier: High; tags: memcached/cache,menlohunt/ports.go
